Shipment_ID,Origin,Destination,Shipment_Date,Planned_Delivery_Date,Actual_Delivery_Date,Vehicle_Type,Distance_(km),Weather_Conditions,Traffic_Conditions,Delayed,Planned_Delivery_Days,Actual_Delivery_Days,Delay_Days,Shipment_Month,Shipment_Day_Of_Week,Is_Weekend,Shipment_Quarter,Distance_Category,Avg_Speed,Is_Long_Distance,Is_Bad_Weather,Is_Heavy_Traffic
0,5,8,2023-04-26,2023-05-01,2023-05-02,2,1603,2,1,1,5,6,1,4,2,0,2,0,267.1666666666667,1,1,0
1,1,3,2023-02-09,2023-02-13,2023-02-17,2,1237,3,2,1,4,8,4,2,3,0,1,1,154.625,1,1,0
2,8,2,2023-09-19,2023-09-25,2023-09-25,3,1863,0,1,0,6,6,0,9,1,0,3,3,310.5,1,0,0
3,4,0,2023-04-01,2023-04-05,2023-04-05,0,1374,0,1,0,4,4,0,4,5,1,2,0,343.5,1,0,0
4,2,6,2023-11-24,2023-11-26,2023-11-28,0,676,0,0,1,2,4,2,11,4,0,4,2,169.0,0,0,1
5,2,0,2024-03-14,2024-03-16,2024-03-19,0,746,3,1,1,2,5,3,3,3,0,1,2,149.2,0,1,0
6,1,7,2024-05-28,2024-06-03,2024-06-10,1,1988,1,1,1,6,13,7,5,1,0,2,3,152.92307692307693,1,1,0
7,6,8,2023-04-01,2023-04-06,2023-04-08,0,1521,2,2,1,5,7,2,4,5,1,2,0,217.28571428571428,1,1,0
8,6,1,2023-10-01,2023-10-02,2023-10-03,3,390,2,1,1,1,2,1,10,6,1,4,4,195.0,0,1,0
9,7,0,2023-03-08,2023-03-09,2023-03-09,2,324,0,1,0,1,1,0,3,2,0,1,4,324.0,0,0,0
10,3,0,2023-07-19,2023-07-24,2023-07-25,2,1679,2,1,1,5,6,1,7,2,0,3,3,279.8333333333333,1,1,0
11,0,3,2023-04-03,2023-04-09,2023-04-13,2,1823,2,2,1,6,10,4,4,0,0,2,3,182.3,1,1,0
12,8,6,2023-06-12,2023-06-13,2023-06-18,3,520,0,2,1,1,6,5,6,0,0,2,4,86.66666666666667,0,0,0
13,4,0,2023-11-12,2023-11-16,2023-11-18,0,1456,0,0,1,4,6,2,11,6,1,4,0,242.66666666666666,1,0,1
14,4,8,2023-09-15,2023-09-17,2023-09-17,1,778,0,1,0,2,2,0,9,4,0,3,2,389.0,0,0,0
15,9,6,2024-05-16,2024-05-21,2024-05-26,3,1671,0,2,1,5,10,5,5,3,0,2,3,167.1,1,0,0
16,2,1,2023-07-28,2023-08-02,2023-08-03,3,1624,0,2,1,5,6,1,7,4,0,3,0,270.6666666666667,1,0,0
17,7,9,2023-11-28,2023-11-29,2023-11-29,3,314,0,1,0,1,1,0,11,1,0,4,4,314.0,0,0,0
18,5,8,2023-09-03,2023-09-04,2023-09-07,3,362,1,2,1,1,4,3,9,6,1,3,4,90.5,0,1,0
19,9,7,2024-02-02,2024-02-07,2024-02-08,1,1691,2,1,1,5,6,1,2,4,0,1,3,281.8333333333333,1,1,0
20,2,5,2024-04-12,2024-04-15,2024-04-15,0,999,0,1,0,3,3,0,4,4,0,2,1,333.0,0,0,0
21,7,9,2023-11-13,2023-11-19,2023-11-19,3,1831,0,1,0,6,6,0,11,0,0,4,3,305.1666666666667,1,0,0
22,5,2,2023-06-24,2023-06-29,2023-06-29,1,1522,0,1,0,5,5,0,6,5,1,2,0,304.4,1,0,0
23,5,0,2023-05-04,2023-05-10,2023-05-11,3,1885,2,1,1,6,7,1,5,3,0,2,3,269.2857142857143,1,1,0
